Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact
232,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,4.0,Facebook,No,6.7,6.8,Neutral
564,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,1.6,LinkedIn,No,8.6,7.6,Positive
788,22,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Canada,4.6,Instagram,No,6.7,7.0,Neutral
686,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,7.0,Snapchat,Yes,5.4,5.3,Negative
608,24,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,7.5,Facebook,Yes,5.0,4.4,Negative
370,19,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,4.1,Twitter,Yes,6.8,6.8,Neutral
862,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,8.0,Instagram,Yes,5.2,5.3,Negative
520,21,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,6.0,Facebook,Yes,5.7,4.7,Negative
703,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,USA,4.7,YouTube,No,7.0,6.2,Neutral
33,19,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,3.6,TikTok,No,8.1,8.6,Positive
519,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Other,4.1,LinkedIn,No,7.3,6.8,Neutral
738,18,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Other,7.6,Snapchat,Yes,5.3,5.5,Negative
119,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,2.4,Facebook,No,8.8,8.5,Positive
287,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Undergraduate,Other,6.2,LinkedIn,No,5.3,5.4,Negative
610,24,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,India,2.7,Instagram,No,8.6,7.8,Positive
383,18,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,Other,5.2,Twitter,Yes,7.0,6.3,Neutral
699,22,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,Graduate,USA,6.5,YouTube,Yes,5.4,5.0,Negative
302,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,High School,Australia,6.8,YouTube,Yes,5.7,5.0,Negative
277,21,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Graduate,Canada,6.9,Facebook,Yes,5.9,5.0,Negative
631,20,03f8c1273e3da99bb315fe7b71c8e45159c826e6d3f42eecd4612078248f73a1,Undergraduate,Other,5.5,Instagram,No,6.8,6.8,Neutral
567,23,e8cca808ae5aaa03a7fc3060856e6d4ad776fb1cb8cfe441a9bd240988cde151,High School,Other,2.0,Facebook,No,7.9,7.1,Positive
